NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
NAME,1.2_02,1.3_01,1.2_01,1.3
AxisAlignedBB,db,di,fa,cg,Axis aligned bounding box
Block,pj,qk,hr,lc,Base class and manager for block types
BlockBed,*,qt,*,lk,*
BlockBloodStone,sa,tg,lr,ni,*
BlockBookshelf,fa,fk,hu,du,*
BlockBreakable,gw,hl,jy,fe,Base class for glass and ice (not used directly)
BlockButton,ke,lb,bb,hq,*
BlockCactus,kl,li,bg,ht,*
BlockCake,pc,qd,hn,la,*
BlockChest,c,c,d,c,*
BlockClay,mx,ny,el,jm,*
BlockCloth,cu,cz,eq,bz,*
BlockContainer,mv,nw,eg,jj,Base class for block that can have content (not used directly)
BlockCrops,jm,kg,w,hc,*
BlockDirt,km,lj,bi,hu,*
BlockDispenser,rj,sp,lb,mx,*
BlockDoor,hv,im,lt,fx,Block used for wooden door and iron door
BlockFence,hb,hq,kg,fj,*
BlockFire,sh,tn,mc,nn,*
BlockFlower,qg,rj,jk,lv,*
BlockFlowing,kh,le,be,hs,Block used for flowing water and lava
BlockFluids,mq,nq,dz,je,Base class for fluids (not used directly)
BlockFurnace,ny,oz,fr,kf,*
BlockGlass,dt,ea,gb,cu,*
BlockGrass,qp,rt,jz,mf,*
BlockGravel,jh,kc,s,ha,*
BlockIce,jn,kh,x,hd,*
BlockJukeBox,dv,ed,gf,cy,*
BlockLadder,ck,co,ea,br,*
BlockLeaves,at,at,bp,aj,*
BlockLeavesBase,jr,kn,aa,hg,Base class for leaves (not used directly). It seems to be separated out possibly as a base class for objects that change textures based on graphics settings (fancy/fast).
BlockLever,rk,sq,lc,my,*
BlockLightStone,il,je,ms,gm,*
BlockLog,ps,qv,ij,ll,*
BlockMinecartTrack,ku,lq,bs,hx,*
BlockMobSpawner,ca,cd,di,bk,*
BlockMushroom,og,ph,gh,kk,*
BlockNote,lh,me,cj,ie,*
BlockObsidian,dl,dr,fu,cn,*
BlockOre,jd,jx,m,gw,"Block used for gold, iron, diamond and coal"
BlockOreBlock,g,g,q,g,"Block used for gold, diamond and iron blocks"
BlockPortal,ab,ab,as,v,*
BlockPressurePlate,az,ba,bw,aq,*
BlockPumpkin,dm,ds,ft,co,*
BlockRedstoneOre,aw,ax,bt,an,*
BlockRedstoneRepeater,*,rs,*,me,*
BlockRedstoneTorch,bx,ca,de,bj,*
BlockRedstoneWire,nk,ol,fb,jv,*
BlockReed,mm,nk,dr,iz,*
BlockSand,en,ew,hf,dl,*
BlockSandStone,mi,ng,dl,ix,*
BlockSapling,fc,fm,hw,dw,*
BlockSign,pa,qb,hi,ky,Block used for standing signs and wall signs
BlockSlowSand,jz,kw,am,hn,*
BlockSnow,gx,hm,kb,ff,*
BlockSnowBlock,v,v,af,n,*
BlockSoil,pu,qx,ip,lo,*
BlockSponge,rb,sh,kr,mq,*
BlockStairs,nq,or,fi,ka,*
BlockStationary,jx,ku,aj,hl,Block used for stationary water and lava
BlockStep,sj,tp,mg,nq,Block used for half step and double step
BlockStone,da,dh,ey,cf,*
BlockTNT,z,z,al,s,*
BlockTorch,pv,qy,is,lp,*
BlockWorkbench,ds,dy,ga,ct,*
CanvasCrashReport,qu,rz,*,*,*
CanvasIsomPreview,an,an,*,*,Canvas used for drawing the isometric preview
CanvasMajongLogo,ef,en,*,*,*
CanvasMinecraftApplet,l,l,*,*,*
ChatLine,nt,ou,*,*,*
Chunk,ib,it,me,gd,Chunk of blocks in the world (16x16x128 blocks)
ChunkCache,dg,dn,fm,ck,Caches a bunch of chunks of the world
ChunkCoordinates,jl,av,mi,al,*
ChunkCoordIntPair,sn,tt,mr,nt,"Pair of integers used as index of chunk (x,z)."
ChunkFilePattern,*,nt,*,jf,*
ChunkFolderPattern,*,bn,*,az,*
ChunkLoader,oj,pk,go,km,Implementation of chunk loader
ChunkPosition,qj,rm,jq,ly,*
ChunkProviderClient,pk,ql,*,*,Chunk provider which loads chunks from the server
ChunkProviderGenerate,rx,td,ln,ng,Chunk provider which generates new chunks (used by other chunk providers)
ChunkProviderHell,lt,mr,ct,im,*
ChunkProviderIso,di,*,*,*,Chunk provider for iso preview client
ChunkProviderLoadOrGenerate,hr,ih,lj,fr,Chunk provider which either loads chunks or generates them with ChunkProviderGenerate
ChunkProviderServer,*,*,ly,fz,Chunk provider which manages chunks on the server for all clients
ClippingHelper,cm,cq,*,*,*
ClippingHelperImplementation,r,r,*,*,*
CodecMus,ge,gr,*,*,Audio codec for .mus files.
ColorizerFoliage,gr,he,*,*,*
ColorizerGrass,fr,gd,*,*,*
CompressedStreamTools,ag,ag,az,ab,"Provides function to read and write gzipped streams, also used to compress NBT compounds"
